id,tweet_url,img_url,labels,labels_value,labels_Final,tweet_text,labels_str
1114934552303153152,https://twitter.com/user/status/1114934552303153152,http://pbs.twimg.com/media/D3kLDsyXoAMnO7W.jpg,"[2, 2, 0]",2,1,@samaichii Ichiro also says she's a cunt. https://t.co/AEftj6vqAx,"['Sexist', 'Sexist', 'NotHate']"
1058461377428406274,https://twitter.com/user/status/1058461377428406274,http://pbs.twimg.com/tweet_video_thumb/DrBpAfwXQAIFX78.jpg,"[2, 0, 2]",2,n,@Str8upkali @xoelisav @MB1up You dumb cunt https://t.co/uZJpT2Fdbh,"['Sexist', 'NotHate', 'Sexist']"
1061060343588212736,https://twitter.com/user/status/1061060343588212736,http://pbs.twimg.com/media/DrmkwRQV4AAKA4w.jpg,"[0, 2, 2]",2,n,A cynical cunt https://t.co/QP19SZ0YNG,"['NotHate', 'Sexist', 'Sexist']"
1105647902297411591,https://twitter.com/user/status/1105647902297411591,http://pbs.twimg.com/tweet_video_thumb/D1gM5kAXgAEMNWv.jpg,"[2, 0, 2]",2,1,I ain’t pressed about a bitch who can’t pick me up lol vroom vroom nigga https://t.co/RMHuVcuwvf,"['Sexist', 'NotHate', 'Sexist']"
1108814653994483712,https://twitter.com/user/status/1108814653994483712,http://pbs.twimg.com/media/D2NNDU8XQAEbF62.jpg,"[2, 0, 2]",2,1,Via: https://t.co/IXYIlOlbQ2 MILF babe with huge hooters Veronica Avluv exposing her juicy cunt... https://t.co/uMjUOsJzTb,"['Sexist', 'NotHate', 'Sexist']"
1056652167560466432,https://twitter.com/user/status/1056652167560466432,http://pbs.twimg.com/media/Dqn7ipiWsAU5L-d.jpg,"[2, 0, 2]",2,n,Assuming that means hun cunt😂😂😂 https://t.co/oUDEKpxbX2,"['Sexist', 'NotHate', 'Sexist']"
1064056877582041089,https://twitter.com/user/status/1064056877582041089,http://pbs.twimg.com/ext_tw_video_thumb/929448874502250497/pu/img/gKIfJVJq2Fl2Kk0A.jpg,"[2, 0, 2]",2,1,When You Just Can't Help It But Make a Twat Of Yourself https://t.co/QdTKXjndKx,"['Sexist', 'NotHate', 'Sexist']"
1108010908217999360,https://twitter.com/user/status/1108010908217999360,http://pbs.twimg.com/ext_tw_video_thumb/1103678471149142017/pu/img/-JqPS9xX9zJg70gq.jpg,"[2, 2, 2]",2,0,How you fuck your nigga when you pay the bills  https://t.co/sQqztAJpZ8,"['Sexist', 'Sexist', 'Sexist']"
1063555851900854273,https://twitter.com/user/status/1063555851900854273,http://pbs.twimg.com/media/DsKCaJtX4AAoecD.jpg,"[2, 2, 5]",2,n,Fuck May what about every other cunt? https://t.co/JR7CzvRNoL,"['Sexist', 'Sexist', 'OtherHate']"
1105409610234527744,https://twitter.com/user/status/1105409610234527744,http://pbs.twimg.com/media/D1c0LKgUcAAvS-B.jpg,"[2, 0, 2]",2,n,@SkyNewsAust Feminazi predators are our speciality. https://t.co/UNwtSCfZZU,"['Sexist', 'NotHate', 'Sexist']"
